Latitide,39.47276
Longitude,-105.0622
Elevation,1801
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m],FFMC hourly [-],FFMC [-],DMC [-],DC [-],ISI [-],BUI [-],FWI [-]
2023-01-06T21:00,4.6,43,0,0.57,135,100,41,70,48.6609849175719,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T22:00,2.4,68,0,1.2,175,100,32,330,48.8846121314996,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T23:00,0.9,69,0,1.61,210,100,20,15,49.0823828463701,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T00:00,2.7,54,0,1.02,281,16,2,10,49.5204160813262,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T01:00,-1.9,69,0,1.14,218,99,0,15,49.6946813602462,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T02:00,-2.9,71,0,0.92,229,82,0,15,49.8421962278138,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T03:00,-5.7,87,0,1.2,222,100,0,20,49.8722480665927,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T04:00,-6.6,90,0,1.91,227,100,0,20,49.8901041564214,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T05:00,-6.3,86,0,1.56,230,100,0,15,49.9236693275604,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T06:00,-6.3,86,0,1.98,225,100,0,15,49.9572018033516,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T07:00,-6,84,0,2.91,221,100,0,15,50.0005666429115,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T08:00,-5.3,80,0,3.41,220,99,0,25,50.0677448275457,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T09:00,-4.6,76,0,3.68,223,94,0,30,50.1641813008803,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T10:00,-4.2,73,0,3.54,225,87,0,35,50.2855660570017,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T11:00,-5,75,0,3.61,228,90,0,35,50.3872761276432,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-07T12:00,-6.7,83,0,3.68,227,75,0,35,50.4338298596843,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T13:00,-7.1,82,0,3.61,226,92,0,30,50.4846522558778,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T14:00,-8,83,0,3.89,224,90,0,30,50.5286779217456,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T15:00,-7.7,81,0,4.11,221,78,5,30,50.583323657781,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T16:00,-4.7,72,0,3.7,218,5,87,35,50.7091788692091,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T17:00,-0.7,61,0,2.72,216,5,238,50,50.9810361895399,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T18:00,2.2,55,0,2.06,203,3,344,90,51.3774856198948,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T19:00,3.6,51,0,2.28,203,0,396,185,51.8657786579303,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T20:00,4.2,48,0,2.33,211,0,412,390,52.4202627595811,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T21:00,4.4,48,0,2.08,215,0,365,540,52.9724621622383,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T22:00,3.9,52,0,1.64,218,0,267,380,53.4310083752051,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-07T23:00,1.1,66,0,1.41,225,0,135,55,53.6428476679388,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T00:00,1.4,57,0,1.61,263,0,22,35,53.9739827748228,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T01:00,-1.9,70,0,1.61,240,0,0,30,54.1202073527974,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T02:00,-6.3,89,0,2.48,227,0,0,25,54.138805324495,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T03:00,-7.6,84,0,3.26,227,0,0,30,54.1743513148617,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T04:00,-7.8,80,0,3.89,224,0,0,35,54.2278232531264,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T05:00,-8.2,78,0,4.24,223,53,0,35,54.2905640614817,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T06:00,-8.4,75,0,4.46,224,54,0,35,54.3694224163076,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T07:00,-8.8,74,0,4.39,223,23,0,35,54.4526763633802,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T08:00,-8.9,72,0,4.67,223,68,0,35,54.5476662250695,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T09:00,-8.3,68,0,4.88,224,68,0,35,54.672355617469,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T10:00,-8.4,68,0,4.95,223,35,0,35,54.7960562873307,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T11:00,-8.8,68,0,4.88,223,99,0,35,54.9172653933362,79.8505933955869,6,15,1.3479033912784,6,0
2023-01-08T12:00,-8.4,68,0,5.39,220,94,0,40,55.0400283010063,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T13:00,-7.5,63,0,5.03,221,100,0,40,55.2069158688527,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T14:00,-5.7,60,0,4.88,224,100,0,40,55.4142275708343,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T15:00,-4.3,58,0,4.81,225,96,0,40,55.6537509641651,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T16:00,-2.7,54,0,5.02,223,100,31,45,55.9562732421294,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T17:00,-0.6,49,0,4.96,222,75,64,50,56.3559463371371,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T18:00,1.7,50,0,5.06,218,27,229,65,56.7736844898905,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T19:00,3.2,45,0,4.28,217,70,419,90,57.3038146924952,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T20:00,4.5,44,0,3.67,209,100,418,125,57.8749503557123,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T21:00,5.1,45,0,3.18,208,100,258,175,58.4304793877163,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T22:00,5.2,44,0,3.33,213,100,187,65,59.000175026111,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-08T23:00,3.7,48,0,3.28,218,99,38,35,59.4540996988855,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T00:00,3.6,48,0,4.89,229,65,11,30,59.9004200505041,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T01:00,1.4,56,0,2.77,229,0,0,20,60.1885051950601,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T02:00,-4.7,94,0,2.77,229,87,0,20,60.1930806874179,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T03:00,-4.2,71,0,3.91,230,71,0,20,60.2933202992418,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T04:00,-4.1,65,0,4.17,226,71,0,30,60.4375245751223,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T05:00,-3.4,57,0,4.6,226,47,0,35,60.6583799214631,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T06:00,-4,58,0,5.02,224,32,0,40,60.8622520900331,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T07:00,-4.3,57,0,5.16,224,12,0,40,61.071494867712,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T08:00,-4.8,58,0,4.9,219,0,0,45,61.2654264898533,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T09:00,-5.7,61,0,4.95,225,0,0,45,61.4253975875703,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T10:00,-6.8,68,0,4.24,227,0,0,40,61.5282042708705,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T11:00,-6.9,68,0,4.03,224,0,0,35,61.6300895201328,79.9094142249551,6,15,1.47811970597627,6,0
2023-01-09T12:00,-4.7,66,0,3.75,222,0,0,35,61.7556825843806,80.2365922510952,6,15,1.4083315461251,6,0
2023-01-09T13:00,-3.7,64,0,3.89,228,0,0,35,61.9015535922956,80.2365922510952,6,15,1.4083315461251,6,0
2023-01-09T14:00,-4.1,66,0,4.32,228,0,0,35,62.0289091167773,80.2365922510952,6,15,1.4083315461251,6,0
2023-01-09T15:00,-2.6,59,0,5.1,228,62,10,45,62.2243237034209,80.2365922510952,6,15,1.4083315461251,6,0
