u,v,W,f_demand,f_topo,f_redundancy,edge_type,travel_time,length,num_lanes,speed
cluster_2375198138_88427440,88427442,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.154067674586033,43.81,2,13.89
cluster_3253246385_88427446,88427444,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,2.742260619150468,38.09,2,13.89
cluster_3253246385_88427446,88427452,0.106479601874765,0.003849892008639308,0.015182186234817813,0.5,highway.residential,8.573074154067674,120.6,2,13.89
cluster_3253246385_88427446,88427448,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,1.9719222462203023,27.39,2,13.89
88427453,88427452,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.6241900647948166,50.34,2,13.89
88427452,88539769,0.10863946916635334,0.005133189344852411,0.020242914979757085,0.5,highway.residential,6.720662347012238,96.56,2,13.89
88428279,88428270,0.10091093117408907,0.0,0.003036437246963563,0.5,highway.residential,11.121670266378688,156.67,2,13.89
88428279,cluster_7504317957_7504374897,0.10124893611749927,0.0012832973362131028,0.0020242914979757085,0.5,highway.residential,3.571634269258459,49.72,2,13.89
88428279,88460653,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,3.7098632109431247,54.73,2,13.89
88428279,88428281,0.1,0.0,0.0,0.5,highway.residential,10.814974802015838,150.47,2,13.89
88428270,cluster_7504317957_7504374897,0.10062446805874964,0.0006416486681065514,0.0010121457489878543,0.5,highway.residential,10.202303815694744,141.71,2,13.89
88428270,6979008823,0.10136639676113361,0.0,0.004554655870445344,0.5,highway.residential,3.7652987760979117,52.3,2,13.89
cluster_3253246394_88428784,88435978,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.4082073434125273,47.34,2,13.89
cluster_3253246394_88428784,cluster_88511204_88539741,0.12375854020747167,0.014116270698344131,0.05566801619433198,0.5,highway.residential,5.013678905687545,70.46,2,13.89
cluster_3253246394_88428784,88428786,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.010799136069114,41.82,2,13.89
88429719,2375198053,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,1.0863930885529156,15.09,2,13.89
88429719,88429721,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,2.0395968322534195,28.33,2,13.89
88429719,88444143,0.1032398009373825,0.001924946004319654,0.0075910931174089065,0.5,highway.residential,15.649388048956084,217.37,2,13.89
88429719,88536595,0.1,0.0,0.0,0.5,highway.residential,9.892728581713463,140.56,2,13.89
88437583,88437581,0.10060728744939272,0.0,0.0020242914979757085,0.5,highway.residential,67.59395248380129,938.88,2,13.89
